symbol,companyName,sector,industry,mcap_tier,marketCap_B,beta,close_today,ret_1D,ret_3D,ret_1W,dollar_vol_M
JLHL,Julong Holding Limited Class A Ordinary Shares,Industrials,Engineering & Construction,L5 · Micro <$1B,0.47,5.0473876,34.44,53.89,75.8,53.48,4.7
NVTS,Navitas Semiconductor Corporation,Technology,Semiconductors,L3 · Mid $5B-$30B,6.66,3.62,30.84,19.26,15.94,6.79,3412.8
POET,POET Technologies Inc.,Technology,Semiconductors,L4 · Small $1B-$5B,1.75,0.543,15.38,11.29,25.14,15.81,841.5
CDNL,Cardinal Infrastructure Group Inc. Class A Common Stock,Industrials,Industrial - Infrastructure Operations,L5 · Micro <$1B,0.81,0.66818523,61.91,9.36,19.31,24.69,35.0
STRL,"Sterling Infrastructure, Inc.",Industrials,Engineering & Construction,L3 · Mid $5B-$30B,25.87,1.639,957.03,9.31,11.17,22.36,994.0
NN,NextNav Inc.,Communication Services,Internet Content & Information,L4 · Small $1B-$5B,3.04,1.032,21.57,7.58,4.61,0.37,79.4
MX,Magnachip Semiconductor Corporation,Technology,Semiconductors,L5 · Micro <$1B,0.25,1.001,8.93,7.07,1.48,50.08,74.9
SNDK,Sandisk Corporation,Technology,"Hardware, Equipment & Parts",L1 · Mega ≥$100B,243.11,4.824709,1831.5,6.71,8.05,15.19,21172.1
FRVO,Fervo Energy Co.,Utilities,Regulated Electric,L3 · Mid $5B-$30B,7.9,,39.97,6.22,9.03,7.1,132.8
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,L2 · Large $30B-$100B,61.92,1.831,1056.58,6.21,6.12,6.92,789.4
TATT,TAT Technologies Ltd.,Industrials,Aerospace & Defense,L5 · Micro <$1B,0.54,0.962,42.82,6.1,-1.13,6.17,15.7
PCT,"PureCycle Technologies, Inc.",Industrials,Industrial - Pollution & Treatment Controls,L4 · Small $1B-$5B,2.33,2.315,13.63,6.07,10.01,7.66,84.4
QUIK,QuickLogic Corporation,Technology,Semiconductors,L5 · Micro <$1B,0.38,1.1096352,23.05,5.73,11.19,2.31,15.1
MEI,"Methode Electronics, Inc.",Technology,"Hardware, Equipment & Parts",L5 · Micro <$1B,0.42,1.454,13.2,5.6,14.38,15.28,15.9
TTMI,"TTM Technologies, Inc.",Technology,"Hardware, Equipment & Parts",L3 · Mid $5B-$30B,19.5,2.112,189.6,5.56,9.14,-0.56,478.5
